Q  Year	Argentina	Brazil
Q1 1995	59.25	37.32
Q2 1995	61.77	40.61
Q3 1995	60.31	42.86
Q4 1995	60.87	47.00
Q1 1996	58.90	40.64
Q2 1996	64.92	42.02
Q3 1996	65.28	45.14
Q4 1996	66.49	43.78
Q1 1997	63.84	42.03
Q2 1997	70.16	44.02
Q3 1997	70.74	45.95
Q4 1997	71.59	45.42
Q1 1998	67.65	42.45
Q2 1998	75.00	44.68
Q3 1998	73.03	46.12
Q4 1998	71.28	44.77
Q1 1999	65.99	42.77
Q2 1999	71.31	44.50
Q3 1999	69.34	45.83
Q4 1999	70.61	45.74
Q1 2000	65.87	44.66
Q2 2000	71.03	46.27
Q3 2000	68.91	47.92
Q4 2000	69.24	47.84
Q1 2001	64.54	46.21
Q2 2001	70.91	47.35
Q3 2001	65.52	48.14
Q4 2001	61.97	47.58
Q1 2002	53.99	46.43
Q2 2002	61.33	48.44
Q3 2002	59.11	50.15
Q4 2002	59.85	50.05
Q1 2003	56.92	47.67
Q2 2003	66.08	48.82
Q3 2003	65.12	50.47
Q4 2003	66.87	50.34
Q1 2004	59.72	49.52
Q2 2004	66.72	51.90
Q3 2004	62.41	53.78
Q4 2004	62.85	53.47
Q1 2005	64.03	51.59
Q2 2005	75.45	54.22
Q3 2005	66.76	54.92
Q4 2005	67.74	54.62
Q1 2006	69.05	53.80
Q2 2006	79.65	55.46
Q3 2006	73.03	57.38
Q4 2006	74.30	57.23
Q1 2007	74.82	56.59
Q2 2007	87.51	59.08
Q3 2007	79.18	60.75
Q4 2007	81.18	61.04
Q1 2008	80.00	60.07
Q2 2008	92.28	62.82
Q3 2008	83.94	64.99
Q4 2008	79.58	61.66
Q1 2009	75.05	58.62
Q2 2009	81.87	61.44
Q3 2009	79.19	64.24
Q4 2009	79.80	64.95
Q1 2010	79.33	64.02
Q2 2010	95.17	66.67
Q3 2010	86.72	68.67
Q4 2010	86.67	68.64
Q1 2011	85.91	67.34
Q2 2011	99.40	69.81
Q3 2011	92.28	71.10
Q4 2011	91.19	70.40
Q1 2012	87.26	68.49
Q2 2012	94.80	70.50
Q3 2012	91.25	72.87
Q4 2012	91.70	72.15
Q1 2013	87.83	70.35
Q2 2013	100.72	73.33
Q3 2013	93.58	74.88
Q4 2013	91.65	73.99
Q1 2014	87.05	72.82
Q2 2014	98.66	73.04
Q3 2014	89.62	74.40
Q4 2014	89.07	73.76
Q1 2015	87.11	71.52
Q2 2015	102.36	70.87
Q3 2015	92.80	71.03
Q4 2015	91.09	69.51
Q1 2016	87.42	67.64
Q2 2016	98.87	68.33
